Location,Total Weight,Ulth Offer,Total Value,Quantity,Item,aura,Category,Source,Appraise DC,Appraised Value,Die Roll,Ulthirmbor Multiplier,Value,Market,Weight,Party,M,Sale Value Per.,Estimated Value,Qty.,PC desc.,Total Weight.,Serial.,Source.,Location.,U,V,W
Already sold or on PC sheet,,0,1500,1,"Gem, fist-sized, (spinel), from skull",,gem,Giants' Lodge,,,,,1500,2000,,?,,,,1,"Gem, fist-sized, (spinel)",,1051,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,675,9,Gem (jasper),,gem,Giants' Lodge,,,,,75,100,,?,,,,9,Gem (jasper),,1052,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,975,1,Gem (diamond),,gem,Giants' Lodge,,,,,975,1300,,?,,,,1,Gem (diamond),,1053,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3750,1,Gem (emerald),,gem,Giants' Lodge,,,,,3750,5000,,?,,,,1,Gem (emerald),,1054,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2250,3,Gem (amethyst),,gem,Giants' Lodge,,,,,750,1000,,?,,,,3,Gem (amethyst),,1055,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1500,4,Gem (tourmaline),,gem,Giants' Lodge,,,,,375,500,,?,,,,4,Gem (tourmaline),,1056,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,187.5,5,Gem (onyx),,gem,Giants' Lodge,,,,,37.5,50,,?,,,,5,Gem (onyx),,1057,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,60,8,Gem (catseye),,gem,Giants' Lodge,,,,,7.5,10,,?,,,,8,Gem (catseye),,1058,Giants' Lodge,Already sold or on PC sheet,,,
Surfeit,,700,700,1,Belt with gold buckle and gems (Hambone took it),,garments,Giants' Lodge,,,,1,700,1400,,player,,,,1,Belt with gold buckle and gems (Hambone took it),,1059,Giants' Lodge,Surfeit,,,
Already sold or on PC sheet,,0,28.8,320,Scrap silver,,,Giants' Lodge,,,,,0.09,0.1,,?,,,,6 lbs,Scrap silver,,1060,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1100,110,Platinum coins,,,Giants' Lodge,,,,,10,10,,?,,,,110,Platinum coins,,1061,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,50,1,"Iron chest of the matron (potions, gold coins, bracelets)",,,Hill Giant's Dungeon,,,,,50,100,,?,,,,1,"Iron chest of the matron (potions, gold coins, bracelets)",,1062,Hill Giant's Dungeon,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3000,3,Bracelet (matron's chest),,,Hill Giant's Dungeon,,,,,1000,2000,,?,,,,3,Bracelet (matron's chest),,1063,Hill Giant's Dungeon,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3000,3000,Gold Coins (matron's chest),,,Hill Giant's Dungeon,,,,,1,1,,?,,,,3000,Gold Coins (matron's chest),,1064,Hill Giant's Dungeon,Already sold or on PC sheet,452507.05,11075,
sold,,0,20160,1,"Scarab of Insanity: This scarab is absolutely indistinguishable from any other amulet, brooch, or scarab. When displayed and a command word is spoke, all other creatures within 20 feet must make a Will save (DC 17). Those failing the save are completely insane as per the confusion spell for 10 rounds, unable to cast spells or use reasoning of any sort. The scarab can be used 4/day.
Caster Level: 7th; Prerequisites: Craft Wondrous Item, confusion; Market Price: 40,320 gp; Converted From: scarab of insanity.

Read more: http://www.enworld.org/forum/showthread.php?251-Missing-Magic-Items-Critques-Welcome!&s=25eaa021f8c0a10d1fbfb7baa65038c6#ixzz2uURoVKBn",,,Alien Room,,,,,20160,40320,,?,,,,1,Scarab -- jewelry,,1065,Alien Room,sold,75417.84167,,
Already sold or on PC sheet,,0,13732.5,1,+3 Large Battleaxe,,,Keeper,,,,,13732.5,18310,,?,,,,1,(magic) Large Battleaxe,,1066,Keeper,Already sold or on PC sheet,,,13000
Already sold or on PC sheet,,0,5400,5400,Gold coins (keeper),,,Keeper,,,,,1,1,,?,,,,5400,Gold coins (keeper),,1067,Keeper,Already sold or on PC sheet,,,36000
Already sold or on PC sheet,,0,1875,5,Gem (tourmaline),,gem,Keeper,,,,,375,500,,?,,,,5,Gem (tourmaline),,1068,Keeper,Already sold or on PC sheet,,,6500
Already sold or on PC sheet,,0,300,4,Gem (jasper),,gem,Keeper,,,,,75,100,,?,,,,4,Gem (jasper),,1069,Keeper,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2250,4,Potion of Water Breathing,,,Keeper,,,,,562.5,750,,?,,,,4,Potion of Water Breathing,,1070,Keeper,Already sold or on PC sheet,2250,2250,
Already sold or on PC sheet,,0,9175,1,+1 Unholy Large Greatsword,,,Chief,,,,,9175,18350,,?,,,,1,(magic) Large Greatsword (evil-looking),,1071,Chief,Already sold or on PC sheet,9175,,
Already sold or on PC sheet,,0,8325,1,Large Adamantine Full Plate,,,Chief,,,,,8325,16650,,?,,,,1,Large Adamantine Full Plate,,1072,Chief,Already sold or on PC sheet,,,
Illigrim,,5000,5000,2,"immovable rods, both in Illigrim's possession.",,equipment,Giants' Lodge,,,,1,2500,5000,,player,,,,2,"immovable rods, both in Illigrim's possession.",,1073,Giants' Lodge,Illigrim,,5000,
Already sold or on PC sheet,,0,108000,32,pieces of jewely.,,,Slain Giants and Ogres,,,,,3375,4500,,?,,,,32,pieces of jewely.,,1074,Slain Giants and Ogres,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,120000,24,"well-made barrels of exceptional wine, and the barrels themselves.",,,Giant's Storage,,,,,5000,10000,,?,,,,24,"well-made barrels of exceptional wine, and the barrels themselves.",,1075,Giant's Storage,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,14320,14320,Gold coins (stone giants),,,Stone Giants' quarters,,,,,1,1,,?,,,,14320,Gold coins (stone giants),,1076,Stone Giants' quarters,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,130,13000,copper pieces (or 130 gp),,,Minor Treasure Room,,,,,0.01,0.01,,?,,,,13000,copper pieces (or 130 gp),,1077,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2730,27300,"silver pieces (or 2,700 gp)",,,Minor Treasure Room,,,,,0.1,0.1,,?,,,,27300,"silver pieces (or 2,700 gp)",,1078,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2856,7140,"electrum pieces (or 3,500 gp)",,,Minor Treasure Room,,,,,0.4,0.4,,?,,,,7140,"electrum pieces (or 3,500 gp)",,1079,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,562.5,1,potion poison,,,Minor Treasure Room,,,,,562.5,750,,?,,,,1,potion poison,,1080,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,108,27,copper ingots of 8 lbs each (worth around 108 gp),,,Minor Treasure Room,,,,,4,4,,?,,,,27,copper ingots of 8 lbs each (worth around 108 gp),,1081,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,8250,11,ivory tusks,,,Minor Treasure Room,,,,,750,1000,,?,,,,11,ivory tusks,,1082,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,735,980,small gems,,,Minor Treasure Room,,,,,0.75,1,,?,,,,980,small gems,,1083,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,23840,23840,"gold pieces in a large chest, and the chest itself.",,,Secret Room,,,,,1,1,,?,,,,23840,"gold pieces in a large chest, and the chest itself.",,1084,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,41390,4139,"platinum pieces in an iron box, and the box itself.",,,Secret Room,,,,,10,10,,?,,,,4139,"platinum pieces in an iron box, and the box itself.",,1085,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3075,41,gem,,gem,Secret Room,,,,,75,100,,?,,,,41,gem,,1086,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,4875,13,gem,,gem,Secret Room,,,,,375,500,,?,,,,13,gem,,1087,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,6000,8,gem,,gem,Secret Room,,,,,750,1000,,?,,,,8,gem,,1088,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,6375,17,"pieces of jewelry and a pile of gems in 2 separate coffers, and the coffers themselves.",,,Secret Room,,,,,375,500,,?,,,,17,"pieces of jewelry and a pile of gems in 2 separate coffers, and the coffers themselves.",,1089,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,320,4,3 keys that go with 4 decently made giant locks.,,,Secret Room,,,,,80,160,,?,,,,4,3 keys that go with 4 decently made giant locks.,,1090,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2250,1,magical barrel with an illusion of brokenness on it. Inside the barrel:,,,Secret Room,,,,,2250,3000,,?,,,,1,magical barrel with an illusion of brokenness on it. Inside the barrel:,,1091,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,5,1,scrollcase,,,Secret Room,,,,,5,10,,?,,,,1,scrollcase,,1092,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3825,1,"obsidian box, with a long chain made of strange black metal and a folded parchment with giantish writing. We haven't had it read by Clouderson yet.",,,Secret Room,,,,,3825,7650,,?,,,,1,"obsidian box, with a long chain made of strange black metal and a folded parchment with giantish writing. We haven't had it read by Clouderson yet.",,1093,Secret Room,Already sold or on PC sheet,3825,3825,
Already sold or on PC sheet,,0,13726.5,1,+3 spear (secret room),,,Secret Room,,,,,13726.5,18302,,?,,,,1,(magic) spear,,1094,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,12472.5,2,+1 flaming longswords (secret room),,,Secret Room,,,,,6236.25,8315,,?,,,,2,(magic) flaming longsword,,1095,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1377.75,11,+2 arrows (secret room),,,Secret Room,,,,,125.25,167,,?,,,,11,(magic) arrows,,1096,Secret Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,875,7,"chests, some with secret compartments or trapped openings. In the chests:",,,Minor Treasure Room,,,,,125,250,,?,,,,7,"chests, some with secret compartments or trapped openings. In the chests:",,1097,Minor Treasure Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,-60,60,Wages for Lesser Ogres,,,Wages,,,,,-1,-1,,?,,-60,,60,Wages for Lesser Ogres,,1098,Wages,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,1,demonic room and altar,,,Alien Room,,,,,0,0,,?,,,,1,demonic room and altar,,1099,Alien Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1500,15,Large giant chain shirts,,,Frost Giants,,,,,100,200,,?,,,,15,Large giant chain shirts,,1100,Frost Giants,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,15,"Large giant greataxes, hard ice",,,Frost Giants,,,,,0,,,?,,,,15,"Large giant greataxes, hard ice",,1101,Frost Giants,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,2,"Large giant battleaxes, hard ice",,,Frost Giants,,,,,0,,,?,,,,2,"Large giant battleaxes, hard ice",,1102,Frost Giants,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,400,2,Large giant breastplates,,,Frost Giants,,,,,200,400,,?,,,,2,Large giant breastplates,,1103,Frost Giants,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,6600,11,Ivory Tusks,,,Yeti Room,,,,,600,800,,?,,,,11,Ivory Tusks,,1104,Yeti Room,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,300,3,Large giant chain shirts,,,"Frost Giants, Upper Level",,,,,100,200,,?,,,,3,Large giant chain shirts,,1105,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,10500,7,Giant gold arm band with bear sigil made from ivory and amber,,,"Frost Giants, Upper Level",,,,,1500,2000,,?,,,,7,Giant gold arm band with bear sigil made from ivory and amber,,1106,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,750,2,Cure Serious Wounds potions (3d8+5),,,"Frost Giants, Upper Level",,,,,375,750,,?,,,,2,Cure Serious Wounds potions (3d8+5),,1107,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2085,278,Clear rock crystal,,gem,"Frost Giants, Upper Level",,,,,7.5,10,,?,,,,278,Clear rock crystal,,1108,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Illigrim,0,0,32650,1,Ring of Three Wishes (2/3),strong evocation,jewelry,"Frost Giants, Upper Level",30,--,8,,32650,65300,,Y,,,--,1,Ring of Three Wishes (2/3),,1109,"Frost Giants, Upper Level",Illigrim,,,
Landorf,,9167.5,9167.5,1,+2 Giant-Bane Bastard Sword,moderate conjuration,armament,"Frost Giants, Upper Level",,,,1,9167.5,18335,6,player,,,,1,+2 Giant-Bane Bastard Sword,,1110,"Frost Giants, Upper Level",Landorf,,,
Tryg's share,,0,3750,1,Giant Amythest Toad Statue,,,"Frost Giants, Upper Level",,,,,3750,5000,,--,,,,1,Giant Amythest Toad Statue,,1111,"Frost Giants, Upper Level",Tryg's share,,,
Already sold or on PC sheet,,0,0,4000,Gold pieces around the skeletons,,,"Frost Giants, Lower Level",,,,,,,,?,,,,4000,Gold pieces around the skeletons,,1112,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,2,2 white huge dragon corpses,,,"Frost Giants, Lower Level",,,,,,,,?,,,,2,2 white huge dragon corpses,,1113,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,29660,2966,pp,,,"Frost Giants, Lower Level",,,,,10,10,,?,,,,2966,pp,,1114,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,,gp,,,"Frost Giants, Lower Level",,,,,1,1,,?,,,,,gp,,1115,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,6928,17320,ep,,,"Frost Giants, Lower Level",,,,,0.4,0.4,,?,,,,17320,ep,,1116,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,7200,72000,sp,,,"Frost Giants, Lower Level",,,,,0.1,0.1,,?,,,,72000,sp,,1117,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Tryg's share,,0,18000,8,silver boxes of ivory,,,"Frost Giants, Lower Level",,,,,2250,3000,,--,,,,8,silver boxes of ivory,,1118,"Frost Giants, Lower Level",Tryg's share,,,
Tryg's share,,0,3000,1,alabaster statue,,,"Frost Giants, Lower Level",,,,,3000,4000,,--,,,,1,alabaster statue,,1119,"Frost Giants, Lower Level",Tryg's share,,,
Tryg's share,,0,2625,7,white marble statues,,,"Frost Giants, Lower Level",,,,,375,500,,--,,,,7,white marble statues,,1120,"Frost Giants, Lower Level",Tryg's share,,,
Already sold or on PC sheet,,0,1425,1900,gems,,gem,"Frost Giants, Lower Level",,,,,0.75,1,,?,,,,1900,gems,,1121,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,8.25,11,pewter serving pieces,,,"Frost Giants, Lower Level",,,,,0.75,1,,?,,,,11,pewter serving pieces,,1122,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,9,shields,,,"Frost Giants, Lower Level",,,,,,,,?,,,,9,shields,,1123,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,7,suits of armor,,,"Frost Giants, Lower Level",,,,,,,,?,,,,7,suits of armor,,1124,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,1,"+3 chainmail (black, silvered)",,,"Frost Giants, Lower Level",,,,,,,,?,,,,1,"(magic) chainmail (black, silvered)",,1125,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,23,weapons,,,"Frost Giants, Lower Level",,,,,,,,?,,,,23,weapons,,1126,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
