Languages,Common,,,,,,Use M D,1,,0,,1,T,Cha,1,1,0,,
Racial,+1 Skill per level,,,,,,Use Rope,-1,,0,,-1,U,Dex,1,1,0,,
,+1 Feat,,,,,,,,,,,,,,,51,/51,,16
Proficient,Simple Weapons,,,,,,Attacks,,,,,,,,,,,,
,"Light, Medium, and Heavy Armor",,,,,,,D.B.,A.B.,Attk,Die,Dam,,Crit,,Range,,,
,Shields (not tower),,,,,,Mace,-2,0,6,1d6,1d6-2,,17-20 x2,,,,,
Feats,Purify Magic,,,,,,Bastard Sword,0,0,6,1d10,1d10,,17-20 x2,,,,,
1,Spell Focus (Good),,,,,,Bastard Sword,0,0,6,1d10,1d10,,17-20 x2,,,,,
3,Sacred Vow,,,,,,Long Bow,0,0,7,1d8,1d8,,x3,,,,,
6,Servant of the Heavens,,,,,,"Dagger, stab",-2,0,6,1d4,1d4,,19-20 x2,,,,,
9,Vow of Abstinence,,,,,,"Dagger, throw",-2,0,7,1d4,1d4,,19-20 x2,,(10ft/50ft),,,
12,Vow of Non-Violence,,,,,,,,,,,,,,,,,,
Class Abil,"Turn Undead (+3) 4/day, 2d6+10 HD",,,,,,Special Spells,Level,,Source,,Replaces,,,,,,,
,Good Domain: +1 Caster Level (Good),,,,,,Vision of Heaven ,1,,Exalted,,Deathwatch,,,,,,,
,"Tricktery Domain (Bluff, Disguise, Hide)",,,,,,Avoid Planar Effects,2,,Spell Comp,,Calm Emotions,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Blessing of the Silver Heaven,,,,,,Elation,2,,Exalted,,Gentle Repose,,,,,,,
,- Electricity resistance 10,,,,,,Lastai's Caress,2,,Exalted,,Find Traps,,,,,,,
,"- +2 sacred vs. disease, poison, petrification",,,,,,Blessed Aim,3,,,,Obscure Object,,,,,,,
,- Magic Circle vs. Evil always,,,,,,Inspired Aim,3,,Exalted,,Wind Wall,,,,,,,
,-- 10 ft radius protection from evil,,,,,,Holy Smite,4,,?,,Sending,,,,,,,
,"-- +2 AC, +2 saves, vs. evil creature",,,,,,Warding Gems,5,,Exalted,,Mark of Justice,,,,,,,
,"-- protected from possession, mental control",,,,,,Call Faithful Servants,6,,Exalted,,Symbol of Persuasion,,,,,,,
,-- summoned creatures cannot contact bodily (SR applies),,,,,,,,,,,,,,,,,,
,Celestial Spells,,,,,,,,,,,,,,,,,,
,Blessing of the Golden Heaven,,,,,,,,,,,,,,,,,,
,- Immune to death spells and magical death effects,,,,,,,,,,,,,,,,,,
