Racial,Immune to Sleep and Paralysis,,,,,,"Full Attack (Bite 13, Claw 8, Claw 8, Wing 8, Wing 8)",,,,,,,,,,,,,
,Immune to Poison,,,,,,,,,,,,,,,,,,,
,Blindsense 60 ft,,,,,,"Dragon, Amethyst: Dragon; Young adult 5/magic; Mature adult 10/magic;",,,,,,,,,,,,,
,Keen Senses 2x normal illumination 4x shadowy,,,,,,"Very old 15/magic; Wyrm 20/magic; LA Wyrmling: +4, very young: +4, young: +5;",,,,,,,,,,,,,
,Darkvision 120ft,,,,,,Refer to Monster Manual entry on true dragons for introductory material. Gem,,,,,,,,,,,,,
,Planar Travel,,,,,,"dragons have psionics, planar travel, and fire resistance 15, and otherwise conform",,,,,,,,,,,,,
,Fire Resistance 15,,,,,,to the Monster Manual. Increase Challenge Rating at each age category by,,,,,,,,,,,,,
,Force Resistant +4 saves vs force effects,,,,,,"+1. Amethyst Telekinesis (Sp): In addition to the effects described, an amethyst",,,,,,,,,,,,,
,Line of Force(can be subdual),,,,,,"great wyrm can use the combat maneuver application of telekinesis, using its Hit",,,,,,,,,,,,,
,"Fly 150' (poor), Burrow 20', Swim 10'",,,,,,Dice as its caster level. Skills: These skills are available to amethyst dragons at 1,,,,,,,,,,,,,
,,,,,,,"skill point per rank: Bluff, Hide, and Move Silently. These are in addition to the",,,,,,,,,,,,,
Notes,,,,,,,skills noted in the Monster Manual as class skills for all dragons.,,,,,,,,,,,,,
Devotee,Obad-Hai,,,,,,,,,,,,,,,,,,,
