Langs.,Common,Common,Common,Common,Common,Common,Common,Common,,,,B47,,,,,,,,,,,,,
,Elven,"Undercommon, Orc, Abyssal, Celestial, Giant",,Elven,Goblin,Gnome,+1 Skill per level,Druidic,,,,B48,,,,,,,,,,,,,
,Draconic,,,,Sylvan,Giant,+1 Feat,Sylvan,,,,B49,,,,,,,,,,,,,
,Goblin,,,,,Draconic,Simple Weapons,Elvish,,,,B50,,,,,,,,,,,,,
,Orc,,,,,Elven,"Light, Medium, and Heavy Armor",+1 Skill per level,,,,B51,,,,,,,,,,,,,
,Giant,,,,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,
Pack,45.76,199.1,56.96,39.3,2.08,17,19.5,25.5,,,,E23,F23,,,,,,,,,,,,
Equipped,35.1,46.35,72.2,13.6,11.21,9.42,30.8,17,,,,E24,F24,,,,,,,,,,,,
Total,80.86,245.45,129.16,52.9,13.29,26.42,50.3,42.5,,,,E25,F25,,,,,,,,,,,,
Heavy,300,400,520,70,175,75,300,300,,,,E28,F28,,,,,,,,,,,,
Medium,200,266,346,46,116,50,200,200,,,,E29,F29,,,,,,,,,,,,
Light,100,133,173,23,58,25,100,100,,,,E30,F30,,,,,,,,,,,,
Lift,600,800,1040,140,350,150,600,600,,,,E27,F27,,,,,,,,,,,,
Drag,1500,2000,2600,350,875,375,1500,1500,,,,E26,F26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
XP/Level,,Wealth by Level,,,,,,,,,,,,,,,,,,,,,,,
1000,2,900,,,,,,,,,,,,,,,,,,,,,,,
3000,3,2700,,,,,,,,,,,,,,,,,,,,,,,
6000,4,5400,,,,,,,,,,,,,,,,,,,,,,,
10000,5,9000,,,,,,,,,,,,,,,,,,,,,,,
15000,6,13000,,,,,,,,,,,,,,,,,,,,,,,
21000,7,19000,,,,,,,,,,,,,,,,,,,,,,,
28000,8,27000,,,,,,,,,,,,,,,,,,,,,,,
36000,9,36000,,,,,,,,,,,,,,,,,,,,,,,
45000,10,49000,,,,,,,,,,,,,,,,,,,,,,,
55000,11,66000,,,,,,,,,,,,,,,,,,,,,,,
66000,12,88000,,,,,,,,,,,,,,,,,,,,,,,
78000,13,110000,,,,,,,,,,,,,,,,,,,,,,,
91000,14,150000,,,,,,,,,,,,,,,,,,,,,,,
105000,15,200000,,,,,,,,,,,,,,,,,,,,,,,
120000,16,260000,,,,,,,,,,,,,,,,,,,,,,,
136000,17,340000,,,,,,,,,,,,,,,,,,,,,,,
153000,18,440000,,,,,,,,,,,,,,,,,,,,,,,
171000,19,580000,,,,,,,,,,,,,,,,,,,,,,,
190000,20,760000,,,,,,,,,,,,,,,,,,,,,,,
