,,"Flask, Alchemist's Fire",20,0,0,1,0,,
,,"Flask, Holy Water",25,0,0,1,0,,
,,"Caltrops, Bag",1,1,1,2,2,,
,p,Antitoxin +5,50,2,100,0.1,0.2,0.2,
,p,"Kit, Disguise",50,1,50,8,8,8,
,p,"Kit, Healer's",50,1,50,1,1,1,
,,Life Saver,10,2,20,0.1,0.2,,
,,Smoke Stick,20,3,60,0.5,1.5,,
,,Sunrod,2,1,2,1,1,,
,,Tanglefoot bag,50,1,50,4,4,,
,,"Thieve's Tools, MW (+2)",100,1,100,2,2,,
,,Universal Solvent,50,3,150,1,3,,
,,Immovable Rod,5000,2,10000,1,2,,
,,Ring of 2 Wishes,,1,,0.1,0.1,,
,,Cloak of Resistance +3,9000,1,9000,0,0,,
,,"Dagger, MW",302,1,302,1,1,,
,,"Dagger, Punching",2,1,2,1,1,,
,,Sap,1,1,1,2,2,,
,,Rogue's Vest,18000,1,18000,0,0,,
,,,,,0,0,0,,
,,Gloves of Dex +2,4000,1,4000,0,0,,
,,Belt of Battle 3 charges/day extra actions,12000,1,12000,0,0,,
,,"Celestial Armor 5 ac +3, 2 acp, fly 1/day",22400,1,22400,0,0,,
,,Ring of Use Magic Device,2500,1,2500,0,0,,
,,Ring of Protection,2000,1,2000,0,0,,
,,"Dagger, Punching",2,1,2,1,1,,
,q,"Rapier, +1 Ghost Touch Lesser Rtrn Gem",9320,1,9320,2,2,,2
,,"Rapier, MW Cold Iron",640,1,640,2,2,,
,,MW Mighty +4 Composite Longbow,775,1,775,3,3,,
,,Oil Bless Weapon,100,4,400,0.1,0.4,,
,,"Potion, Water Breathing",750,1,750,0.1,0.1,,
,,"Potion, Cure Light Wounds",50,1,50,0.1,0.1,,
,,"Potion, Cure Moderate Wounds",300,2,600,0.1,0.2,,
,p,"Potion, Fire Resistance 10",300,1,300,0.1,0.1,0.1,
,p,Scroll Case,1,1,1,0.5,0.5,0.5,
,p,"Scroll, Bane +",25,1,25,0.1,0.1,0.1,
,p,"Scroll, Cure Light Wounds +",25,1,25,0.1,0.1,0.1,
,p,"Scroll, Delay Poison +",150,1,150,0.1,0.1,0.1,
,p,"Scroll, Endure Elements",25,1,25,0.1,0.1,0.1,
,p,"Scroll, Entangle +",25,1,25,0.1,0.1,0.1,
,p,"Scroll, Knock",150,1,150,0.1,0.1,0.1,
,p,"Scroll, Mage Armor",25,1,25,0.1,0.1,0.1,
,p,"Scroll, Magic Weapon +",25,2,50,0.1,0.2,0.2,
,p,"Scroll, Shield of Faith +",25,3,75,0.1,0.3,0.3,
,p,Unguent of Timelessness,150,1,150,0.1,0.1,0.1,
,,,,,0,0.1,0,,
,p,Potion of Jump,50,1,50,0.1,0.1,0.1,
,p,Potion of Water Breathing,750,1,750,0.1,0.1,0.1,
,p,,,,0,0.1,0,0,
,p,Incense of Obsession,200,1,200,0.1,0.1,0.1,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,,,0,0,0,0,,
,,"Healing Belt 1 2d8, 2 3d8, 3 4d8 +2 heal",750,1,750,0.1,0.1,,
,,Chrono Chrm Horizon Walker 1/day swift 15',500,1,500,0.1,0.1,,
,,Deathstrike Bracers (Swift Action),8333,1,8333,0.1,0.1,,
,,"Wand, Cure Light (50)",750,1,750,0,0,,
,,"Wand, Invisibility",4500,1,4500,0,0,,
,,"Javelins, Cold Iron",2,3,6,2,6,,
,,"Javelins, Silver",21,3,63,2,6,,
,,"Staff of Fire & Ice [35 charges]
This strong bluewood staff is ornately inlaid with red orichalcum, creating patterns of flame and ice crystals. A crystal of blue ice is embedded in the wood at one end while a pink tourmaline is held by the metal on the other. This staff can be weilded as a +1 Flaming/+1 Frost quarterstaff. 
Moderate Evocation; CL 10th; Craft Staff, Craft Magic Arms and Armor; cone of cold, mass fire shield, wall of ice, wall of fire, orb of cold, orb of fire, fireball; Price 70,506 gp (new); Weight 4 lb.
Base values, increase for higher level weilder:
>> Cone of Cold - 10d6 Cold Cone, 60ft (DC 17; 1c)
>> Fire Shield, Mass - As Fire Shield (half damage of fire; 1d6+10 Cold to melee attackers; or reverse), 10 rounds, allies within 30ft diameter (DC 17; 2c)
>> Wall of Ice - 10x 10ft squares or 13ft radius hemisphere; DC 25 STR to break through; 30hp; 10in. thick (DC 16; 2c)
>> Wall of Fire - 200 ft fire sheet; 50 ft radius circle; 20ft tall; 2d6+10 fire; 2d4 w/i 10ft; 1d4 w/i 20 (DC 16; 2c)
>> Orb of Cold - 10d6 Cold ranged touch 50ft, no save/SR, Fort DC 16 or blinded for 1r (DC 16; 1c)
>> Orb of Fire - 10d6 Fire ranged touch 50ft, no save/SR, Fort DC 16 or dazed for 1r (DC 16; 1c)
>> Fireball - 10d6 Fire Sphere 20ft radius (DC 14; 1c)",49354.2,1,49354.2,4,4,,
