,Hand Crossbow,,,,,,,,,,,,,,,,,,,,
Feats,Lightning Reflexes (+2 Reflex),,,,,,Bow of the Wintermoon,6,1,19,1d8,1d8+6,,x3,,110ft/1100ft,,,,,
human,Weapon Finesse,,,,,,"Dagger, stab",5,0,18,1d4,1d4+5,,19-20 x2,,,,,,,
3,Point Blank Shot (+1 w/i 30ft.),,,,,,"Dagger, throw",5,0,18,1d4,1d4+5,,19-20 x2,,(10ft/50ft),,,,,
F1,Improved Unarmed Strike (no AoO),,,,,,,,,,,,,,,,,,,,
F2,Weapon Focus (sickle),,,,,,-2 to attack roll for every range increment the target is away.,,,,,,,,,,,,,,
6,Improved Grapple,,,,,,,,,,,,,,,,,,,,
9,Two-Weapon Defense,,,,,,TW Full Attack,+10/+10o/+5/+5o/+0/+0o,,,,,,,,,,,,,
12,Greater Two-Weapon Fighting,,,,,,"Full Attack w. E Crystals(#1Sickle +18/+13/+8, 2d6+4, #2Sickle +18/+13/+8, 2d6+2, HH +14, 1d8+1)",,,,,,,,,,,,,,
Class Abil,Track (p. 101),,,,,,+ Concealment 5' 7/da,,,,,,,,,,,,,,
Ranger,Spiritual Connection 3/day (Speak w/ Animals/Plants),,,,,,"- Ignore Death/Negative levels, 1/day",,,,,,,,,,,,,,
Ranger,"Favored Enemy: Humans, Giants",,,,,,"+ Teleport 20/40/60' for 1/3/5 charges, 5 charges/day",,,,,,,,,,,,,,
Ranger,+4 bonus,,,,,,"- Invisibility 4 rnds (or less with more people), 3 charges/day",,,,,,,,,,,,,,
Ranger,"- Bluff, Listen, Sense Motive, Spot, Survival",,,,,,-+5 to any untrained skill 1/day,,,,,,,,,,,,,,
Ranger,- Weapon Damage,,,,,,"- Negate stun, confuse, dazed, etc., 1/day",,,,,,,,,,,,,,
Ranger,Two-Weapon Fighting,,,,,,-Awaken from sleep 1/day,,,,,,,,,,,,,,
Ranger,Endurance,,,,,,-Healing Belt,,,,,,,,,,,,,,
Ranger,Distracting Attack,,,,,,"-Bag of Tricks, tan",,,,,,,,,,,,,,
Rogue,Trap-finding (p. 49),,,,,,,,,,,,,,,,,,,,
Rogue,Sneak Attack +2d6,,,,,,,,,,,,,,,,,,,,
Rogue,Evasion,,,,,,,Spells,Jump (p. 246),,,,,,,,,,,,
Ranger,Improved Two Weapon Fighting,,,,,,,Notes,,,,,,,,,,,,,
Rogue,Trap Sense +1,,,,,,,Devotee,"Obad-Hai, Pelor",,,,,,,,,,,,
Rogue,Disruptive Attack,,,,,,,,,,,,,,,,,,,,
