Melee,8,,Medium,200,,,Knowledge (nob & roy),2,,0,,2,T,Int,1,,0,,
Ranged,9,,Light,100,,,Knowledge (religion),2,,0,,2,T,Int,1,,0,,
Grapple,8,,Value,17.2,,,Knowledge (planes),2,,0,,2,T,Int,1,,0,,
Initiative,0,,Money,0,Gp,,Listen,10,,5,,5,U,Wis,2,,5,,=====
BAB +9/+4,9,,,68992,XP,,Move Silently,0,-3,0,,0,U,Dex,1,,0,,
HD,12,Att,skill,plus,105,HD,Open Lock,0,,0,,0,T,Dex,1,,0,,
Druid,12,0.75,7,3,105,8,Perform (),1,,0,,1,U,Cha,1,,0,,
,0,0,5,0,0,0,Profession,5,,0,,5,T,Wis,2,,0,,
,,,,,,,Ride,12,,10,2,0,U,Dex,2,,10,,==========
,,,,,,,Search,2,,0,,2,U,Int,1,,0,,
10+6(armor)+0(shield)+0(deflection)+0(natural)+0(DEX),,,,,,,Sense Motive,5,,0,,5,U,Wis,1,,0,,
ACP,-3,,,,,,Sleight of Hand,0,-3,0,0,0,T,Dex,1,,0,,
Armor,6,16,Max,AC,,,Speak Language,0,,0,,,T,None,1,,0,,
Deflection Ring,0,10,Touch,,,,Spellcraft,13,,11,0,2,T,Int,2,,11,,===========
Natural Amulet,0,16,Unaware,,,,Spot,12,,7,,5,U,Wis,2,,7,,=======
Dex,0,,,,,,Survival,18,,11,2,5,U,Wis,2,,11,,===========
Hvy Steel Shield,0,,,,,,Swim,7,1,8,,-1,U,Str,2,,8,,========
,,,,,,,Tumble,0,-3,0,0,0,T,Dex,1,,0,,
Languages,Common,,,,,,Use M D,1,,0,,1,T,Cha,1,,0,,
,Druidic,,,,,,Use Rope,0,,0,,0,U,Dex,1,,0,,
1,Sylvan,,,,,,,,,,,,,,,105,/105,,0
2,Elvish,,,,,,Attacks,,,,,,,,,,,,
Racial,+1 Skill per level,,,,,,,D.B.,A.B.,Attk,Die,Dam,,Crit,,Range,,,
,+1 Feat,,,,,,Quarterstaff +2,1,2,10,1d6,1d6+1,,x2,,,,,
Proficient,"Club, dagger, dart, quarterstaff, scimitar, sickle,",,,,,,(contains mass Bulls Strength),,,,,,,,,,,,
,"shortspear, sling, spear, all natural attacks",,,,,,,,,,,,,,,,,,
,Light and medium non-metal armor,,,,,,,,,,,,,,,,,,
,"Shields, non-metal",,,,,,Spell Level,per day,DC,,,,,,,,,,
Feats,,,,,,,0,6,15,,,,,,,,,,
human,Natural Spell,,,,,,1,7,16,,,,,,,,,,
1,"Natural Bond (no effect, should be replaced)",,,,,,2,5,17,,,,,,,,,,
3,Spell Focus (??? School),,,,,,3,5,18,,,,,,,,,,
6,Augment Summoning,,,,,,4,4,19,,,,,,,,,,
9,Companion Spellbond (30ft),,,,,,,,15,,,,,,,,,,
Class Abil,,,,,,,,,15,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,
9,Companion Spellbond (30ft),,,,,,5,4,20,,,,,,,,,,
12,Energy Substitution (Cold),,,,,,6,2,21,,,,,,,,,,
Class Abilities,Animal Companion,,,,,,,,,,,,,,,,,,
,Nature Sense,,,,,,,,,,,,,,,,,,
,Wild Empathy +15,,,,,,,,,,,,,,,,,,
,Woodland Stride,,,,,,,,,,,,,,,,,,
,Trackless Step,,,,,,,,,,,,,,,,,,
,Resist Nature's Lure (+4 save vs. fey),,,,,,,,,,,,,,,,,,
,Wild shape (4/day),,,,,,,,,,,,,,,,,,
,"Wild shape tiny, small, medium, large",,,,,,,,,,,,,,,,,,
,Venom immunity (all poisons),,,,,,,,,,,,,,,,,,
,Wild shape (plants),,,,,,,,,,,,,,,,,,
